ACCOUNT_NUMBER,APP_NAME,USER_ID,INST_ID,INST_NAME,TRADER_ID,HIERARCHY_SEQ_NUM,SRC_SYSTEM,EVENT_TYPE,INSTRUMENT_TYPE,TICKER,CURRENCY,PRICE,QUANTITY,AMOUNT,BROKER_ID,STATUS,IS_ACTIVE,TRADE_STATUS,TRADE_ID,TRADE_TS,TRADE_TYPE,BASE_TRADE_ID,APPROVAL_STATUS,CATEGORY,COMMENTS,TRADEBOOK,CONTRABOOK,CONTRACT_ID,COUNTERPARTY,EVENT_ACTION,EVENT_TS,EVENT_REASON,EXTERNAL_ID,NOTES_FRONT_OFFICE,NOTES_BACK_OFFICE,NOVATION_ID,NOVATION_AMOUNT,RELATED_EXCHANGE,PRIMARY_BOOK,RISK_ID,FIXED_RATE,MATURITY_DATE,FLOATING_RATE_ISDA_INDEX,STRIKE_PRICE,OPTION_TYPE,BUY_SELL,MISCELLANEOUS_BLOB_1,MISCELLANEOUS_BLOB_2,VERSION
1e0dc87ac3f0c04,BLOOMBERG,255e8e3c3f1a228,1c95ace2ee89c8c,ICBC,424,18,HORIZON,NEWREQ,Preferred Stock,AEP,USD,100.0510,461097,46133215.95,576,FAIL,true,SETTLED,35a4e900,2018-09-24 08:57:23.861,STOP,,REJECTED,MARGIN,USER_ID: '255e8e3c3f1a228' AMOUNT: '4.6133215947E7' SRC_SYSTEM: 'HORIZON' TICKER: 'AEP',REUTERS,BROADRIDGE,2763817,Goldman Sachs,APPROVE,2018-09-19 08:57:23.861,Income,9848375,ACCOUNT_NUMBER: '1e0dc87ac3f0c04' APP_NAME: 'BLOOMBERG' INST_NAME: 'ICBC' INSTRUMENT_TYPE: 'Preferred Stock',BROKER: '576' TRADE_ID: '35a4e900' TRADE_STATUS: 'SETTLED' EVENT_REASON: 'Income',1dbd495b3352c9c,56659.658353958555,CBOE,REGULATORY,1be75b99f5d11c4,9.13,2018-12-26,FIDELITY SP500,107.9716,ETC,SUSPEND,1bfcd89a1bc6390,249f6b73dcddaa8,1
163e4980333a6f9,THOMSON REUTERS,270f81dc4589d50,196938f30d1f536,UBS,349,58,HORIZON,NEWREQ,Bond,GPC,CAD,18.0398,218760,3946386.65,624,PASS,true,INPROCESS,35a4e901,2018-09-26 10:02:51.974,SELL STOP,,APPROVED,RISK,USER_ID: '270f81dc4589d50' AMOUNT: '3946386.648' SRC_SYSTEM: 'HORIZON' TICKER: 'GPC',ETRADE,OPTIONS PLACE,1568904,Bradesco,APPROVE,2018-08-23 10:02:51.974,Consolidation,3838201,ACCOUNT_NUMBER: '163e4980333a6f9' APP_NAME: 'THOMSON REUTERS' INST_NAME: 'UBS' INSTRUMENT_TYPE: 'Bond',BROKER: '624' TRADE_ID: '35a4e901' TRADE_STATUS: 'INPROCESS' EVENT_REASON: 'Consolidation',175db5d48aa69e1,6574952.586557474,NASDAQ,REGULATORY,1b4f3bfe61a66f4,8.48,2018-12-04,FIDELITY SP500,16.4580,OTC,HOLD,1846e561bbe535e,1e05033b4bc7eb4,1
1d2d52c2522f40c,THOMSON REUTERS,2424e3a640962b8,1a4017d926f154c,Wells Fargo,592,73,FRONTIER,MODREQ,Option,AMG,CAD,170.3862,434027,73952211.23,744,PASS,true,SETTLED,35a4e903,2018-09-26 07:42:02.397,SELL LIMIT,,APPROVED,MARGIN,USER_ID: '2424e3a640962b8' AMOUNT: '7.39522112274E7' SRC_SYSTEM: 'FRONTIER' TICKER: 'AMG',REUTERS,IB,5755790,Bradesco,CLEAR,2018-07-26 07:42:02.397,Consolidation,4516483,ACCOUNT_NUMBER: '1d2d52c2522f40c' APP_NAME: 'THOMSON REUTERS' INST_NAME: 'Wells Fargo' INSTRUMENT_TYPE: 'Option',BROKER: '744' TRADE_ID: '35a4e903' TRADE_STATUS: 'SETTLED' EVENT_REASON: 'Consolidation',2ab5642c4933e90,3770389.833239525,ISE,AML,2c4011e13547000,10.58,2018-11-20,ISHARES FUTURES,165.7493,PUT,SUSPEND,1e43d409f9400c0,288f77c21d85dd0,1
25b20daee733838,CAPIQ,2092d5fe2cd93f0,1aabf3b9dd13ed8,Credit Suisse,311,73,HORIZON,MODCONF,Bond,ICE,CHF,189.7176,216356,41046541.07,806,PASS,true,CANCELLED,35a4e904,2018-09-24 10:54:59.870,MARKET,35a4e903,ONHOLD,DEFAULT,USER_ID: '2092d5fe2cd93f0' AMOUNT: '4.10465410656E7' SRC_SYSTEM: 'HORIZON' TICKER: 'ICE',MERRILL EDGE,BROADRIDGE,4854676,Citi,APPROVE,2018-08-18 10:54:59.870,Investment,1771629,ACCOUNT_NUMBER: '25b20daee733838' APP_NAME: 'CAPIQ' INST_NAME: 'Credit Suisse' INSTRUMENT_TYPE: 'Bond',BROKER: '806' TRADE_ID: '35a4e904' TRADE_STATUS: 'CANCELLED' EVENT_REASON: 'Investment',20b2db539190a58,1202515.4413828647,NYSE,REGULATORY,1e9959793b08938,10.81,2018-11-27,FIDELITY SP500,182.3338,PUT,SELL,1cdb3b2a250bdf4,2760f9716076940,1
20b5aa99bb42ab0,FACTSET,2c0c6bf6d291aa0,1ee9018c01e7da0,BNP Paribas,541,9,PROTO,CXLREQ,Futures,MCD,CAD,74.8346,607816,45485667.23,539,CANCELLED,true,CANCELLED,35a4e905,2018-09-28 07:10:51.506,SELL LIMIT,35a4e901,APPROVED,RISK,USER_ID: '2c0c6bf6d291aa0' AMOUNT: '4.54856672336E7' SRC_SYSTEM: 'PROTO' TICKER: 'MCD',BLOOMBERG,OPTIONS PRO,1916963,China Construction Bank,REJECT,2018-07-29 07:10:51.506,Retirement,4362569,ACCOUNT_NUMBER: '20b5aa99bb42ab0' APP_NAME: 'FACTSET' INST_NAME: 'BNP Paribas' INSTRUMENT_TYPE: 'Futures',BROKER: '539' TRADE_ID: '35a4e905' TRADE_STATUS: 'CANCELLED' EVENT_REASON: 'Retirement',23dd903a22ea050,5953459.62063973,NSX,AML,23112c25df8bb98,5.83,2018-12-20,FIDELITY SP500,80.7817,PUT,BUY,1842644df1b7a9e,206eb6eeab26170,1
28cfdf808db4950,BLOOMBERG,1ceb55d08591974,225e5d141cf1638,Citi,11,74,DCC,MODREQ,Option,GIS,MXN,200.5989,838354,168172890.21,771,PASS,true,SETTLED,35a4e906,2018-09-29 07:42:23.664,BUY LIMIT,35a4e903,DEFERRED,MARGIN,USER_ID: '1ceb55d08591974' AMOUNT: '1.681728902106E8' SRC_SYSTEM: 'DCC' TICKER: 'GIS',ETRADE,OPTIONS PLACE,8348541,Wells Fargo,APPROVE,2018-09-11 07:42:23.664,Investment,1733952,ACCOUNT_NUMBER: '28cfdf808db4950' APP_NAME: 'BLOOMBERG' INST_NAME: 'Citi' INSTRUMENT_TYPE: 'Option',BROKER: '771' TRADE_ID: '35a4e906' TRADE_STATUS: 'SETTLED' EVENT_REASON: 'Investment',296d0a9751a6fe0,8208583.4613598455,AMEX,AML,2191e65b10af7f0,4.27,2018-11-05,VANGUARD TOTAL,199.6999,OTC,SUSPEND,17c22c321c252da,298517f7d4d2c90,1
1e8341ca118fae0,THOMSON REUTERS,18e4ca0f151ba16,246d3dde5330110,Bradesco,879,61,LIC,FILLEDREQ,Preferred Stock,DVN,CHF,164.6424,876406,144293587.21,58,CANCELLED,true,INPROCESS,35a4e907,2018-09-27 04:05:04.312,SELL LIMIT,35a4e901,APPROVED,CASH,USER_ID: '18e4ca0f151ba16' AMOUNT: '1.442935872144E8' SRC_SYSTEM: 'LIC' TICKER: 'DVN',BLOOMBERG,IB,8782359,Bradesco,DEFER,2018-07-01 04:05:04.312,Retirement,5621313,ACCOUNT_NUMBER: '1e8341ca118fae0' APP_NAME: 'THOMSON REUTERS' INST_NAME: 'Bradesco' INSTRUMENT_TYPE: 'Preferred Stock',BROKER: '58' TRADE_ID: '35a4e907' TRADE_STATUS: 'INPROCESS' EVENT_REASON: 'Retirement',21f4cf6f6632658,4257751.424257761,AMEX,BANK,16c4b6e9e2e5975,12.78,2018-11-27,ISHARES FUTURES,160.3870,PUT,HOLD,18d8384e20bd6be,1da9a258d97bce8,1
1983dd1e0a5e9ac,CAPIQ,27c99a393ba86d0,1aabf3b9dd13ed8,Credit Suisse,50,77,PROTO,CXLCONF,Preferred Stock,PAYX,GBP,108.3798,88254,9564950.87,757,FAIL,true,SETTLED,35a4e908,2018-09-23 04:37:06.944,MARKET,35a4e902,REJECTED,CASH,USER_ID: '27c99a393ba86d0' AMOUNT: '9564950.8692' SRC_SYSTEM: 'PROTO' TICKER: 'PAYX',BLOOMBERG,BROADRIDGE,7314577,Goldman Sachs,WITHDRAW,2018-08-26 04:37:06.944,Income,8774232,ACCOUNT_NUMBER: '1983dd1e0a5e9ac' APP_NAME: 'CAPIQ' INST_NAME: 'Credit Suisse' INSTRUMENT_TYPE: 'Preferred Stock',BROKER: '757' TRADE_ID: '35a4e908' TRADE_STATUS: 'SETTLED' EVENT_REASON: 'Income',17b7105e5b49d3c,8429590.035414243,BSE,REGULATORY,1fc15c5312d5270,7.93,2018-10-07,ISHARES FUTURES,116.6096,ETC,SUSPEND,1c32db70315774c,1acc968d5cda1cc,1
1ca9c5f288fd90c,BLOOMBERG,1ba533c48e52efc,1aabf3b9dd13ed8,Credit Suisse,685,9,PROTO,CXLCONF,Futures,EFX,JPY,155.5138,2627186,408563636.59,694,CANCELLED,true,DONE,35a4e909,2018-09-23 08:48:58.912,STOP,35a4e907,ONHOLD,RISK,USER_ID: '1ba533c48e52efc' AMOUNT: '4.085636365934E8' SRC_SYSTEM: 'PROTO' TICKER: 'EFX',BLOOMBERG,BROADRIDGE,7413544,Barclays,DEFER,2018-08-05 08:48:58.912,Retirement,9597596,ACCOUNT_NUMBER: '1ca9c5f288fd90c' APP_NAME: 'BLOOMBERG' INST_NAME: 'Credit Suisse' INSTRUMENT_TYPE: 'Futures',BROKER: '694' TRADE_ID: '35a4e909' TRADE_STATUS: 'DONE' EVENT_REASON: 'Retirement',1835806c873504c,5187787.401042921,CBOE,REGULATORY,2447032ed2532f0,8.30,2018-11-07,VANGUARD TOTAL,69.1438,PUT,BUY,255ec13158fdb20,20a8d93d9344920,1
267665593d63470,CAPIQ,2b91d7f5cbbe7a0,1ee9018c01e7da0,BNP Paribas,444,48,FRONTIER,CXLREQ,Stock,HOLX,GBP,6.7623,973784,6585019.54,684,FAIL,true,SUBMITTED,35a4e90a,2018-09-29 10:10:32.352,STOP,,ONHOLD,MARGIN,USER_ID: '2b91d7f5cbbe7a0' AMOUNT: '6585019.5432' SRC_SYSTEM: 'FRONTIER' TICKER: 'HOLX',MERRILL EDGE,IB,379264,Agricultural Bank of China,CLEAR,2018-08-21 10:10:32.352,Debt,1693641,ACCOUNT_NUMBER: '267665593d63470' APP_NAME: 'CAPIQ' INST_NAME: 'BNP Paribas' INSTRUMENT_TYPE: 'Stock',BROKER: '684' TRADE_ID: '35a4e90a' TRADE_STATUS: 'SUBMITTED' EVENT_REASON: 'Debt',2b03f0a4a9e2c30,7324986.506632513,CBOE,REGULATORY,23346059842dc08,7.27,2018-10-28,SPDR MIDCAP,7.1351,CALL,SELL,2bee62aa2326b90,16fc8b04f3c2983,1
